"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that verifies user gets redirected to 'Login' page after logging out","11448","testSuccessfulLogout(ProductsDto) [1] ProductsDto(super=BaseDto(testCaseId=TC-1), username=standard_user, password=secret_sauce, url=https://www.saucedemo.com/)","","Mon May 18 06:44:06 UTC 2026","broken","Mon May 18 06:44:17 UTC 2026","","io.github.tahanima.e2e.ProductsTest","io.github.tahanima.e2e.ProductsTest","testSuccessfulLogout"
"Test that verifies user gets error message after submitting incorrect login credentials","4904","testIncorrectLoginCredentials(LoginDto) [3] LoginDto(super=BaseDto(testCaseId=TC-2), username=locked_out_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon May 18 06:44:40 UTC 2026","broken","Mon May 18 06:44:45 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the username is blank","5370","testBlankUserName(LoginDto) [1] LoginDto(super=BaseDto(testCaseId=TC-3), username=, password=demo_password, errorMessage=Epic sadface: Username is required)","","Mon May 18 06:45:04 UTC 2026","broken","Mon May 18 06:45:10 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankUserName"
"Test that verifies user gets error message after submitting login credentials for locked out user","4958","testLockedOutUser(LoginDto) [1] LoginDto(super=BaseDto(testCaseId=TC-5), username=locked_out_user, password=secret_sauce, errorMessage=Epic sadface: Sorry, this user has been locked out.)","","Mon May 18 06:44:59 UTC 2026","broken","Mon May 18 06:45:04 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testLockedOutUser"
"Test that verifies user gets error message after submitting incorrect login credentials","4910","testIncorrectLoginCredentials(LoginDto) [6] LoginDto(super=BaseDto(testCaseId=TC-2), username=demo_username, password=demo_password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon May 18 06:44:54 UTC 2026","broken","Mon May 18 06:44:59 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","4700","testIncorrectLoginCredentials(LoginDto) [1] LoginDto(super=BaseDto(testCaseId=TC-2), username=username, password=secret_sauce, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon May 18 06:44:30 UTC 2026","broken","Mon May 18 06:44:35 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","4460","testCorrectLoginCredentials(LoginDto) [1] LoginDto(super=BaseDto(testCaseId=TC-1), username=standard_user, password=secret_sauce, errorMessage=)","","Mon May 18 06:44:18 UTC 2026","broken","Mon May 18 06:44:22 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","4634","testIncorrectLoginCredentials(LoginDto) [5] LoginDto(super=BaseDto(testCaseId=TC-2), username=performance_glitch_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon May 18 06:44:50 UTC 2026","broken","Mon May 18 06:44:54 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","4261","testCorrectLoginCredentials(LoginDto) [3] LoginDto(super=BaseDto(testCaseId=TC-1), username=performance_glitch_user, password=secret_sauce, errorMessage=)","","Mon May 18 06:44:26 UTC 2026","broken","Mon May 18 06:44:30 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","5438","testIncorrectLoginCredentials(LoginDto) [2] LoginDto(super=BaseDto(testCaseId=TC-2), username=standard_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon May 18 06:44:35 UTC 2026","broken","Mon May 18 06:44:40 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets error message after submitting incorrect login credentials","4496","testIncorrectLoginCredentials(LoginDto) [4] LoginDto(super=BaseDto(testCaseId=TC-2), username=problem_user, password=password, errorMessage=Epic sadface: Username and password do not match any user in this service)","","Mon May 18 06:44:45 UTC 2026","broken","Mon May 18 06:44:50 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testIncorrectLoginCredentials"
"Test that verifies user gets redirected to 'Products' page after submitting correct login credentials","3837","testCorrectLoginCredentials(LoginDto) [2] LoginDto(super=BaseDto(testCaseId=TC-1), username=problem_user, password=secret_sauce, errorMessage=)","","Mon May 18 06:44:22 UTC 2026","broken","Mon May 18 06:44:26 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testCorrectLoginCredentials"
"Test that verifies user gets error message after submitting login credentials where the password is blank","11435","testBlankPassword(LoginDto) [1] LoginDto(super=BaseDto(testCaseId=TC-4), username=demo_username, password=, errorMessage=Epic sadface: Password is required)","","Mon May 18 06:44:06 UTC 2026","broken","Mon May 18 06:44:17 UTC 2026","","io.github.tahanima.e2e.LoginTest","io.github.tahanima.e2e.LoginTest","testBlankPassword"
